row_number;col_a;col_b;ingestion_action;target_metric_or_metrics;import_as_source;layer;note
241;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Илья;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
242;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Андрей М;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
243;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Алина;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
244;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Альбина;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
245;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Андрей;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
246;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Артём;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
247;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Вася;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
248;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Вильдан;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
249;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Гамаз;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
250;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Жора;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
251;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Глеб;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
252;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Олег;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
253;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Полина;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
254;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;Тёма;exclude;;no;exclude;Нужно руками уточнить интерпретацию.
