metric_name,business_unit_scope,show_scope,partner_scope,channel_scope,source_system,source_label,minimal_frequency,availability_status,credibility,source_row_ref
Number of certificates,b2c_spb,general,b2c_partner_names,marketing_channel_names,manual_table,Таблица,week,available,,24
Number of completed OG protocols,b2c_spb,general,general,general,manual_table,Таблица,week,available,,live_add_metric_spb_115
Number of creative meetings,b2b,general,,,amocrm,AMOCRM,week,available,,refined_2026_05_01
Number of fines,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_142
Number of genuine reviews,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_100
Number of genuine reviews,b2c_spb,general,general,general,manual_table,Таблица,week,available,,live_add_metric_spb_57
Number of leads,b2b,,,marketing_channel_names,amocrm,AMOCRM,week,available,,refined_2026_05_01
Number of leads,franchise,,,marketing_channel_names,manual_table,Таблица,week,available,,refined_2026_05_01
Number of new Yandex Maps reviews,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_99
Number of new Yandex Maps reviews,b2c_spb,general,general,general,manual_table,Таблица,week,available,,live_add_metric_spb_56
Number of non-genuine reviews,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_101
Number of non-genuine reviews,b2c_spb,general,general,general,manual_table,Таблица,week,available,,live_add_metric_spb_58
Number of orders,b2b,general,,,amocrm,AMOCRM,week,available,,refined_2026_05_01
Number of orders,b2c_moscow,,,marketing_channel_names,erp,ERP,week,available,,refined_2026_05_01
Number of orders,b2c_moscow,,,marketing_channel_names,manual_table,Таблица,week,available,,refined_2026_05_01
Number of orders,b2c_moscow,,b2c_partner_names,,erp,ERP,week,available,,refined_2026_05_01
Number of orders,b2c_moscow,,b2c_partner_names,,manual_table,Таблица,week,available,,refined_2026_05_01
Number of orders,b2c_moscow,b2c_show_names,,,erp,ERP,week,available,,refined_2026_05_01
Number of orders,b2c_moscow,b2c_show_names,,,manual_table,Таблица,week,available,,refined_2026_05_01
Number of orders,b2c_moscow,general,,,erp,ERP,week,available,,refined_2026_05_01
Number of orders,b2c_moscow,general,,,manual_table,Таблица,week,available,,refined_2026_05_01
Number of orders,b2c_spb,,,marketing_channel_names,erp,ERP,week,available,,refined_2026_05_01
Number of orders,b2c_spb,,,marketing_channel_names,manual_table,Таблица,week,available,,refined_2026_05_01
Number of orders,b2c_spb,,b2c_partner_names,,erp,ERP,week,available,,refined_2026_05_01
Number of orders,b2c_spb,,b2c_partner_names,,manual_table,Таблица,week,available,,refined_2026_05_01
Number of orders,b2c_spb,b2c_show_names,,,erp,ERP,week,available,,refined_2026_05_01
Number of orders,b2c_spb,b2c_show_names,,,manual_table,Таблица,week,available,,refined_2026_05_01
Number of orders,b2c_spb,general,,,erp,ERP,week,available,,refined_2026_05_01
Number of orders,b2c_spb,general,,,manual_table,Таблица,week,available,,refined_2026_05_01
Number of post-show survey responses,b2c_moscow,b2c_show_names,,,erp,ERP,week,available,,erp_survey_satisfaction
Number of post-show survey responses,b2c_moscow,general,,,erp,ERP,week,available,,erp_survey_satisfaction_q2
Number of post-show survey responses,b2c_spb,b2c_show_names,,,erp,ERP,week,available,,erp_survey_satisfaction
Number of post-show survey responses,b2c_spb,general,,,erp,ERP,week,available,,erp_survey_satisfaction_q2
Number of question 3 responses,b2c_moscow,b2c_show_names,,,erp,ERP,week,available,,erp_survey_satisfaction_q3
Number of question 3 responses,b2c_spb,b2c_show_names,,,erp,ERP,week,available,,erp_survey_satisfaction_q3
Number of question 4 responses,b2c_moscow,b2c_show_names,,,erp,ERP,week,available,,erp_survey_satisfaction_q4
Number of question 4 responses,b2c_spb,b2c_show_names,,,erp,ERP,week,available,,erp_survey_satisfaction_q4
Number of resolved negative reviews,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_105
Number of resolved negative reviews,b2c_spb,general,general,general,manual_table,Таблица,week,available,,live_add_metric_spb_62
Number of reviewed OGs,b2c_spb,general,general,general,manual_table,Таблица,week,available,,live_add_metric_spb_96
Number of reviewed shows,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_139
Number of reviewed shows,b2c_spb,general,general,general,manual_table,Таблица,week,available,,live_add_metric_spb_94
Number of show rating responses,b2c_moscow,b2c_show_names,,,erp,ERP,week,available,,erp_survey_satisfaction_q1
Number of show rating responses,b2c_spb,b2c_show_names,,,erp,ERP,week,available,,erp_survey_satisfaction_q1
Number of show removals,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_143
Number of show visitors,b2b,general,,,aggregate,Агрегат,month,available,,refined_2026_05_01
Number of show visitors,b2b,general,,,airtable,Airtable,month,available,,refined_2026_05_01
Number of show visitors,b2c_moscow,b2c_show_names,,,erp,ERP,week,available,,refined_2026_05_01
Number of show visitors,b2c_spb,b2c_show_names,,,erp,ERP,week,available,,refined_2026_05_01
Number of shows,b2b,general,,,aggregate,Агрегат,month,available,,refined_2026_05_01
Number of shows,b2b,general,,,airtable,Airtable,month,available,,refined_2026_05_01
Number of shows,b2c_moscow,b2c_show_names,,,erp,ERP,week,available,,refined_2026_05_01
Number of shows,b2c_spb,b2c_show_names,,,erp,ERP,week,available,,refined_2026_05_01
Number of shows cancelled,b2c_moscow,b2c_show_names,b2c_partner_names,marketing_channel_names,erp,ERP,week,available,,37
Number of shows cancelled,b2c_moscow,general,b2c_partner_names,marketing_channel_names,aggregate,Агрегат,week,available,,38
Number of shows cancelled,b2c_moscow,general,b2c_partner_names,marketing_channel_names,manual_table,Таблица,week,available,,38
Number of shows cancelled,b2c_spb,b2c_show_names,b2c_partner_names,marketing_channel_names,erp,ERP,week,available,,39
Number of shows cancelled,b2c_spb,general,b2c_partner_names,marketing_channel_names,aggregate,Агрегат,week,available,,40
Number of shows cancelled,b2c_spb,general,b2c_partner_names,marketing_channel_names,manual_table,Таблица,week,available,,40
Number of source-attribution responses,b2c_moscow,b2c_show_names,,,erp,ERP,week,available,,72
Number of source-attribution responses,b2c_moscow,general,,,erp,ERP,week,available,,73
Number of source-attribution responses,b2c_spb,b2c_show_names,,,erp,ERP,week,available,,74
Number of source-attribution responses,b2c_spb,general,,,erp,ERP,week,available,,75
Number of tickets,b2c_moscow,,,marketing_channel_names,erp,ERP,week,available,,refined_2026_05_01
Number of tickets,b2c_moscow,,,marketing_channel_names,manual_table,Таблица,week,available,,refined_2026_05_01
Number of tickets,b2c_moscow,,b2c_partner_names,,erp,ERP,week,available,,refined_2026_05_01
Number of tickets,b2c_moscow,,b2c_partner_names,,manual_table,Таблица,week,available,,refined_2026_05_01
Number of tickets,b2c_moscow,b2c_show_names,,,erp,ERP,week,available,,refined_2026_05_01
Number of tickets,b2c_moscow,b2c_show_names,,,manual_table,Таблица,week,available,,refined_2026_05_01
Number of tickets,b2c_moscow,general,,,erp,ERP,week,available,,refined_2026_05_01
Number of tickets,b2c_moscow,general,,,manual_table,Таблица,week,available,,refined_2026_05_01
Number of tickets,b2c_spb,,,marketing_channel_names,erp,ERP,week,available,,refined_2026_05_01
Number of tickets,b2c_spb,,,marketing_channel_names,manual_table,Таблица,week,available,,refined_2026_05_01
Number of tickets,b2c_spb,,b2c_partner_names,,erp,ERP,week,available,,refined_2026_05_01
Number of tickets,b2c_spb,,b2c_partner_names,,manual_table,Таблица,week,available,,refined_2026_05_01
Number of tickets,b2c_spb,b2c_show_names,,,erp,ERP,week,available,,refined_2026_05_01
Number of tickets,b2c_spb,b2c_show_names,,,manual_table,Таблица,week,available,,refined_2026_05_01
Number of tickets,b2c_spb,general,,,erp,ERP,week,available,,refined_2026_05_01
Number of tickets,b2c_spb,general,,,manual_table,Таблица,week,available,,refined_2026_05_01
Number of warnings,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_141
Quality - External,b2b,b2b_show_names,b2b_partner_names,marketing_channel_names,not_available_yet,пока нет,,not_available_yet,,64
Quality - External,b2b,general,b2b_partner_names,marketing_channel_names,not_available_yet,пока нет,,not_available_yet,,65
Quality - External,b2c_moscow,general,b2c_partner_names,marketing_channel_names,manual_table,Таблица,week,available,,62
Quality - External,b2c_spb,general,b2c_partner_names,marketing_channel_names,manual_table,Таблица,week,available,,63
Quality - Internal,b2b,b2b_show_names,b2b_partner_names,marketing_channel_names,not_available_yet,пока нет,,not_available_yet,,70
Quality - Internal,b2b,general,b2b_partner_names,marketing_channel_names,not_available_yet,пока нет,,not_available_yet,,71
Quality - Internal,b2c_moscow,b2c_show_names,b2c_partner_names,marketing_channel_names,erp,ERP,week,available,,66
Quality - Internal,b2c_moscow,general,b2c_partner_names,marketing_channel_names,aggregate,Агрегат,week,available,,67
Quality - Internal,b2c_spb,b2c_show_names,b2c_partner_names,marketing_channel_names,erp,ERP,week,available,,68
Quality - Internal,b2c_spb,general,b2c_partner_names,marketing_channel_names,aggregate,Агрегат,week,available,,69
Returns amount - non-theater fault,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_36
Returns amount - non-theater fault,b2c_spb,general,general,general,manual_table,Таблица,week,available,,live_add_metric_spb_30
Returns amount - theater fault,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_35
Returns amount - theater fault,b2c_spb,general,general,general,manual_table,Таблица,week,available,,live_add_metric_spb_29
Revenue,b2b,general,,,airtable,Airtable,month,available,,refined_2026_05_01
Revenue,b2b,general,,,planfact,PlanFact,month,available,,refined_2026_05_01
Revenue,b2c_moscow,,,marketing_channel_names,manual_table,Таблица,week,available,,refined_2026_05_01
Revenue,b2c_moscow,,b2c_partner_names,,manual_table,Таблица,week,available,,refined_2026_05_01
Revenue,b2c_moscow,b2c_show_names,,,erp,ERP,week,available,,refined_2026_05_01
Revenue,b2c_moscow,general,,,aggregate,Агрегат,week,available,,refined_2026_05_01
Revenue,b2c_moscow,general,,,manual_table,Таблица,week,available,,refined_2026_05_01
Revenue,b2c_spb,,,marketing_channel_names,manual_table,Таблица,week,available,,refined_2026_05_01
Revenue,b2c_spb,,b2c_partner_names,,manual_table,Таблица,week,available,,refined_2026_05_01
Revenue,b2c_spb,b2c_show_names,,,erp,ERP,week,available,,refined_2026_05_01
Revenue,b2c_spb,general,,,aggregate,Агрегат,week,available,,refined_2026_05_01
Revenue,b2c_spb,general,,,manual_table,Таблица,week,available,,refined_2026_05_01
Revenue,franchise,general,,,planfact,PlanFact,month,available,,refined_2026_05_01
Share of negative reviews from visitors,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_104
Share of negative reviews from visitors,b2c_spb,general,general,general,manual_table,Таблица,week,available,,live_add_metric_spb_61
Share of reviewed shows without violations,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_140
Share of reviewed shows without violations,b2c_spb,general,general,general,manual_table,Таблица,week,available,,live_add_metric_spb_95
Sum of post-show ratings,b2c_moscow,b2c_show_names,,,erp,ERP,week,available,,erp_survey_satisfaction_q1
Sum of post-show ratings,b2c_spb,b2c_show_names,,,erp,ERP,week,available,,erp_survey_satisfaction_q1
Website visits,b2b,,,marketing_channel_names,yandex_metrica,Яндекс.Метрика,week,available,,refined_2026_05_01
Website visits,b2c_moscow,,,marketing_channel_names,yandex_metrica,Яндекс.Метрика,week,available,,refined_2026_05_01
Website visits,b2c_moscow,b2c_show_names,,,yandex_metrica,Яндекс.Метрика,week,available,,refined_2026_05_01
Website visits,b2c_spb,,,marketing_channel_names,yandex_metrica,Яндекс.Метрика,week,available,,refined_2026_05_01
Website visits,b2c_spb,b2c_show_names,,,yandex_metrica,Яндекс.Метрика,week,available,,refined_2026_05_01
Website visits,franchise,,,marketing_channel_names,yandex_metrica,Яндекс.Метрика,week,available,,refined_2026_05_01
Website visits,immersivny,general,,,yandex_metrica,Яндекс.Метрика,week,available,,82
