row_number,source_business_unit,source_label,formula_or_input,filled_cell_count,layer,canonical_metric,business_unit,show,channel,agent,merge_rule,mapping_status,mapping_note
238,,СУММА ПЕРЕВЕДЕННАЯ ПО ИТОГУ МЕСЯЦА,formula,27,exclude,,general,,,,,mapped,cash management layer
239,,СУММА ПЕРЕВЕДЕННАЯ НАКОПИТЕЛЬНЫМ ИТОГОМ ЗА ГОД,formula,28,exclude,,general,,,,,mapped,cash management layer
240,,Сальдо,formula,27,exclude,,general,,,,,mapped,cash balance layer
241,,Отложено на депозит по итогу месяца,input,3,exclude,,general,,,,,mapped,cash management layer
242,,Отложено на депозит накопительным итогом за год,formula,3,exclude,,general,,,,,mapped,cash management layer
243,,Сальдо с учетом депозита,formula,4,exclude,,general,,,,,mapped,cash balance layer
244,,Дополнительно,input,3,exclude,,general,,,,,mapped,service row
247,,Процент выполнения годового плана,input,1,exclude,,general,,,,,mapped,planning KPI outside canonical fact layer
248,,Театр Москва,formula,25,exclude,,general,,,,,excluded,main historical sheet percentage helper row; never include in Net profit
249,,Театр Москва накопительным итогом,formula,25,exclude,,general,,,,,mapped,cumulative helper row
250,,Театр Петербург,formula,8,exclude,,general,,,,,excluded,main historical sheet percentage helper row; never include in Net profit
251,,Театр Петербург накопительным итогом,formula,7,exclude,,general,,,,,mapped,cumulative helper row
252,,Франшиза (без учета Китая и Чехии),formula,13,fact,Net profit,general,general,general,general,sum,mapped,
253,,Франшиза накопительным итогом,formula,13,exclude,,general,,,,,mapped,cumulative helper row
254,,Корпоратив,formula,25,exclude,,general,,,,,excluded,main historical sheet percentage helper row; never include in Net profit
255,,Корпоратив накопительным итогом,formula,25,exclude,,general,,,,,mapped,cumulative helper row
